Unnamed: 0,description,url,publishedAt,FinBERT score
33,The 30-share BSE Sensex closed  up  147.89 points at 81053.19,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-power-stocks-down-as-market-rises/articleshow/112712134.cms,2024-08-22T11:21:02Z,-0.4917829930782318
36,"Tata Motors,  Wipro,  NTPC,  Dr. Reddys and  M&M were among the top losers on NSE in today's trade.",https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-stocks-that-hit-52-week-lows-on-nse-in-todays-trade/articleshow/112711438.cms,2024-08-22T11:00:43Z,-0.5791797041893005
38,"In the Nifty pack, 25 stocks closed in the green, while 25 stocks ended in the red.",https://economictimes.indiatimes.com/markets/stocks/stock-watch/sensex-rises-but-these-stocks-fell-5-or-more-in-thursdays-session/articleshow/112711018.cms,2024-08-22T10:50:34Z,-0.8601272106170654
51,"A total of 2,805 shares changed hands on the counter till 02:10PM (IST)",https://economictimes.indiatimes.com/markets/stocks/stock-watch/cummins-india-shares-decline-0-4-as-sensex-climbs/articleshow/112706527.cms,2024-08-22T08:40:45Z,-0.8988505601882935
58,The Relative Strength Index of the stock stood at 50.13 on Thursday.,https://economictimes.indiatimes.com/markets/stocks/stock-watch/chola-inv-finance-shares-fall-1-76-per-cent-in-thursdays-trading-session/articleshow/112705837.cms,2024-08-22T08:20:21Z,-0.8229200839996338
61,"A total of 5,858 shares changed hands on the counter till 01:39PM (IST).",https://economictimes.indiatimes.com/markets/stocks/stock-watch/havells-india-share-price-down-0-96-per-cent/articleshow/112705470.cms,2024-08-22T08:10:09Z,-0.8771679401397705
62,"A total of 68,089 shares changed hands on the counter till 01:34PM (IST)",https://economictimes.indiatimes.com/markets/stocks/stock-watch/adani-power-shares-drop-0-78-as-sensex-rises/articleshow/112705344.cms,2024-08-22T08:04:59Z,-0.8647077083587646
76,"Radico Khaitan Ltd is quoting at Rs 1756.95, up 1.85% on the day as on 12:44 IST on the NSE. The stock is up 44.01% in last one year as compared to a 27.67% spurt in NIFTY and a 22.1% spurt in the Nifty FMCG.",https://www.business-standard.com/markets/capital-market-news/radico-khaitan-ltd-spurts-1-85-up-for-fifth-straight-session-124082200500_1.html,2024-08-22T07:30:00Z,0.4829106032848358
97,"A total of 92,096 shares changed hands on the counter till 12:33PM (IST).",https://economictimes.indiatimes.com/markets/stocks/stock-watch/rec-shares-up-0-12-as-nifty-gains/articleshow/112703288.cms,2024-08-22T07:03:31Z,0.5374001860618591
98,"A total of 222,796 shares changed hands on the counter till time (IST).",https://economictimes.indiatimes.com/markets/stocks/stock-watch/gail-shares-fall-0-23-as-nifty-gains/articleshow/112702933.cms,2024-08-22T06:53:17Z,-0.8387652635574341
129,"In the Nifty pack, 21 stocks closed in the green, while 29 stocks ended in the red.",https://economictimes.indiatimes.com/markets/stocks/stock-watch/sensex-rises-but-these-stocks-fell-5-or-more-in-fridays-session/articleshow/112740539.cms,2024-08-23T11:46:36Z,-0.869526207447052
130,"Indian stock markets close flat as investors await US Fed Chair's speech at Jackson Hole; Sensex up 0.04%, Nifty up 0.05%.",https://www.thehindubusinessline.com/markets/markets-end-flat-as-sensex-and-nifty-post-marginal-gains-amid-cautious-trading/article68558477.ece,2024-08-23T11:45:28Z,-0.7463163733482361
